Volatility 3 Framework 2.28.1

Offset	Driver Name	IRP	Address	Module	Symbol
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SET_INFORMATION	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_QUERY_EA	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SET_EA	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_FLUSH_BUFFERS	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_QUERY_VOLUME_INFORMATION	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SET_VOLUME_INFORMATION	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_DIRECTORY_CONTROL	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_FILE_SYSTEM_CONTROL	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_DEVICE_CONTROL	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_INTERNAL_DEVICE_CONTROL	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SHUTDOWN	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_LOCK_CONTROL	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_CLEANUP	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_CREATE_MAILSLOT	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_QUERY_SECURITY	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SET_SECURITY	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_POWER	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SYSTEM_CONTROL	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_DEVICE_CHANGE	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_QUERY_QUOTA	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_SET_QUOTA	0xf8043a0fc950	Wdf01000	-
0x990eee71e680	WindowsTrustedRT	IRP_MJ_PNP	0xf8043a0fc950	Wdf01000	-
0x990eee720de0	Msfs	IRP_MJ_CREATE	0xf8043d55b320	Msfs	Feature_ShadowAdmin__private_requiresFeatures
0x990eee720de0	Msfs	IRP_MJ_CREATE_NAMED_PIPE	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_CLOSE	0xf8043d55bb80	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_READ	0xf8043d55c200	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_WRITE	0xf8043d55be60	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_QUERY_INFORMATION	0xf8043d55a7e0	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_SET_INFORMATION	0xf8043d55cf70	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_QUERY_EA	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_SET_EA	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_FLUSH_BUFFERS	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_QUERY_VOLUME_INFORMATION	0xf8043d55a790	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_SET_VOLUME_INFORMATION	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_DIRECTORY_CONTROL	0xf8043d559430	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_FILE_SYSTEM_CONTROL	0xf8043d559010	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_DEVICE_CONTROL	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_INTERNAL_DEVICE_CONTROL	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_SHUTDOWN	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_LOCK_CONTROL	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_CLEANUP	0xf8043d55ca20	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_CREATE_MAILSLOT	0xf8043d55aa90	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_QUERY_SECURITY	0xf8043d55d100	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_SET_SECURITY	0xf8043d55a360	Msfs	-
0x990eee720de0	Msfs	IRP_MJ_POWER	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_SYSTEM_CONTROL	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_DEVICE_CHANGE	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_QUERY_QUOTA	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_SET_QUOTA	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee720de0	Msfs	IRP_MJ_PNP	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee744b90	PnpManager	IRP_MJ_CREATE	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee744b90	PnpManager	IRP_MJ_CREATE_NAMED_PIPE	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee744b90	PnpManager	IRP_MJ_CLOSE	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee744b90	PnpManager	IRP_MJ_READ	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee744b90	PnpManager	IRP_MJ_WRITE	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
0x990eee744b90	PnpManager	IRP_MJ_QUERY_INFORMATION	0xf804a7fdbaa0	ntoskrnl	IopInvalidDeviceRequest
