Volatility 3 Framework 2.28.1

PID	Process	Base	Name	Major	Minor	Product	Build
N/A	N/A	0xf8043d8e0000	winhvr.sys	-	-	-	-
N/A	N/A	0xf8043d910000	rdbss.sys	-	-	-	-
N/A	N/A	0xf8043d9a0000	nsiproxy.sys	-	-	-	-
N/A	N/A	0xf8043d9c0000	npsvctrig.sys	-	-	-	-
N/A	N/A	0xf8043d9e0000	mssmbios.sys	-	-	-	-
N/A	N/A	0xf8043da00000	dfsc.sys	-	-	-	-
N/A	N/A	0xf8043da90000	bam.sys	-	-	-	-
N/A	N/A	0xf8043dab0000	ahcache.sys	-	-	-	-
N/A	N/A	0xf8043db10000	CompositeBus.sys	-	-	-	-
N/A	N/A	0xf8043db30000	kdnic.sys	-	-	-	-
N/A	N/A	0xf8043db50000	umbus.sys	-	-	-	-
N/A	N/A	0xf8043db70000	CAD.sys	-	-	-	-
N/A	N/A	0xf8043db90000	i8042prt.sys	-	-	-	-
N/A	N/A	0xf8043dbc0000	kbdclass.sys	-	-	-	-
N/A	N/A	0xf8043dbe0000	mouclass.sys	-	-	-	-
N/A	N/A	0xf8043dc00000	E1G6032E.sys	-	-	-	-
N/A	N/A	0xf8043dc30000	HDAudBus.sys	-	-	-	-
N/A	N/A	0xf8043e8e0000	portcls.sys	-	-	-	-
N/A	N/A	0xf8043e960000	drmk.sys	-	-	-	-
N/A	N/A	0xf8043de00000	ks.sys	-	-	-	-
N/A	N/A	0xf8043de90000	USBXHCI.SYS	-	-	-	-
N/A	N/A	0xf8043df50000	ucx01000.sys	-	-	-	-
N/A	N/A	0xf8043dfa0000	CmBatt.sys	-	-	-	-
N/A	N/A	0xf8043dfc0000	BATTC.SYS	-	-	-	-
N/A	N/A	0xf8043dff0000	intelppm.sys	-	-	-	-
N/A	N/A	0xf8043e050000	NdisVirtualBus.sys	-	-	-	-
N/A	N/A	0xf8043e070000	swenum.sys	-	-	-	-
N/A	N/A	0xf8043e080000	rdpbus.sys	-	-	-	-
N/A	N/A	0xf8043e0a0000	HdAudio.sys	-	-	-	-
N/A	N/A	0xf8043e130000	ksthunk.sys	-	-	-	-
N/A	N/A	0xf8043e150000	UsbHub3.sys	-	-	-	-
N/A	N/A	0xf8043e210000	USBD.SYS	-	-	-	-
N/A	N/A	0xf8043e230000	hidusb.sys	-	-	-	-
N/A	N/A	0xf8043e250000	HIDCLASS.SYS	-	-	-	-
