Volatility 3 Framework 2.28.1

Allocation	Tag	PoolType	NumberOfBytes	Status
0xffff990ef4648000	MmWe	N/A	0x20a0	Allocated
0xffffe08e80ef1000	Obtb	N/A	0x1000	Allocated
0xffffe08e7fbe9000	CM25	N/A	0x1000	Allocated
0xffffe08e80a2f000	MmRe	N/A	0x1d50	Allocated
0xffff990ef2eb9000	Cont	N/A	0x1000	Allocated
0xffffe08e7f727000	CM25	N/A	0x1000	Allocated
0xffffe08e7f265000	CM25	N/A	0x1000	Allocated
0xffffe08e80659000	ClfI	N/A	0x1230	Allocated
0xffffe08e8523e000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f351000	CM25	N/A	0x2000	Allocated
0xffffe08e7c3f8000	SeSi	N/A	0x14d0	Allocated
0xffff990ef2e43000	Cont	N/A	0x1000	Allocated
0xffff990eeebe2000	EtwB	N/A	0x10000	Allocated
0xffff990ef2e7e000	Cont	N/A	0x1000	Allocated
0xffffb08014608000	ConT	N/A	0x4000	Allocated
0xffff990ef2e08000	Cont	N/A	0x1000	Allocated
0xffffe08e7f7d8000	CM25	N/A	0x2000	Allocated
0xffffe08e7f316000	CM25	N/A	0x1000	Allocated
0xffffe08e87316000	Gpbm	N/A	0x1900	Allocated
0xffffe08e898eb000	MmRe	N/A	0x2ae0	Allocated
0xffff990ef2e2e000	Cont	N/A	0x1000	Allocated
0xffffe08e81efa000	CM16	N/A	0x1000	Allocated
0xffffe08e7f8ea000	CM25	N/A	0x1000	Allocated
0xffffe08e88730000	Gpbm	N/A	0x1900	Allocated
0xffffe08e8826e000	RvaL	N/A	0x1050	Allocated
0xffffe08e7f428000	CM25	N/A	0x1000	Allocated
0xffffe08e831c7000	CM16	N/A	0x2000	Allocated
0xffffe08e7d79c000	MmSt	N/A	0x11f0	Allocated
0xffffe08e81ebf000	CM16	N/A	0x1000	Allocated
0xffffe08e819fd000	CIsc	N/A	0x2000	Allocated
0xffffe08e87d71000	WtdJ	N/A	0x1320	Allocated
0xffffe08e7ce18000	RvaL	N/A	0x1260	Allocated
0xffffe08e8318c000	CM16	N/A	0x1000	Allocated
0xffffe08e7f8af000	CM25	N/A	0x1000	Allocated
0xffffb08014131000	ConT	N/A	0x4000	Allocated
0xffffe08e7f3ed000	CM25	N/A	0x1000	Allocated
0xffffe08e81e84000	CM16	N/A	0x1000	Allocated
0xffff990ef2df3000	Cont	N/A	0x1000	Allocated
0xffff990eeeb92000	EtwB	N/A	0x10000	Allocated
0xffffe08e7f99b000	CM25	N/A	0x1000	Allocated
0xffffe08e7f4d9000	CM25	N/A	0x1000	Allocated
0xffffe08e874d9000	MmRe	N/A	0x1120	Allocated
0xffffe08e7fe5d000	Gpbm	N/A	0x1900	Allocated
0xffff990ef2db8000	Cont	N/A	0x1000	Allocated
0xffff990eee695000	Proc	N/A	0x1230	Allocated
0xffffe08e7f960000	CM25	N/A	0x1000	Allocated
0xffffe08e836ff000	CM32	N/A	0x1000	Allocated
0xffffe08e7f49e000	CM25	N/A	0x1000	Allocated
0xffff990ef2d42000	Cont	N/A	0x1000	Allocated
0xffff990ef2d7d000	Cont	N/A	0x1000	Allocated
0xffffe08e7f463000	CM25	N/A	0x1000	Allocated
0xffffe08e83202000	CM16	N/A	0x1000	Allocated
0xffffe08e7f925000	CM25	N/A	0x1000	Allocated
0xffffe08e811db000	EtwB	N/A	0x4000	Allocated
0xffffe08e891db000	Obtb	N/A	0x1000	Allocated
0xffffe08e858fe000	Obtb	N/A	0x1000	Allocated
0xffffe08e8169d000	CM16	N/A	0x1000	Allocated
0xffff990ef2d07000	Cont	N/A	0x1000	Allocated
0xffffe08e7fed3000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7fa11000	CM25	N/A	0x1000	Allocated
0xffffe08e7cab8000	CM16	N/A	0x1000	Allocated
0xffff990ef23be000	IPrq	N/A	0x1440	Allocated
0xffffe08e7f54f000	CM25	N/A	0x1000	Allocated
0xffffe08e7f08d000	CM25	N/A	0x2000	Allocated
0xffffe08e81b24000	MmRe	N/A	0x5ef0	Allocated
0xffff990ef44d1000	ClfC	N/A	0x1620	Allocated
0xffffe08e7c5bb000	CM16	N/A	0x1000	Allocated
0xffffe08e8835a000	WtdJ	N/A	0x1310	Allocated
0xffff990ef2ccc000	Cont	N/A	0x1000	Allocated
0xffff990ef280a000	FVEx	N/A	0x1730	Allocated
0xffffe08e7f514000	CM25	N/A	0x1000	Allocated
0xffffe08e87514000	WtdJ	N/A	0x1310	Allocated
0xffffe08e7f9d6000	CM25	N/A	0x1000	Allocated
0xffffe08e807e1000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f13e000	CM25	N/A	0x1000	Allocated
0xffffe08e8713e000	Gpbm	N/A	0x1900	Allocated
0xffffe08e81713000	CM16	N/A	0x1000	Allocated
0xffffe08e87f49000	MmRe	N/A	0x7110	Allocated
0xffffe08e7f103000	CM25	N/A	0x1000	Allocated
0xffffe08e7fa87000	CM25	N/A	0x1000	Allocated
0xffffe08e87a87000	BFde	N/A	0x10000	Allocated
0xffff990ef2c91000	Cont	N/A	0x1000	Allocated
0xffffe08e7f5c5000	CM25	N/A	0x1000	Allocated
0xffffe08e85939000	CM32	N/A	0x1000	Allocated
0xffff990ef48a7000	Via1	N/A	0x1800	Allocated
0xffff990ef43e5000	Usnc	N/A	0x12000	Allocated
0xffffe08e7d477000	MmSt	N/A	0x16000	Allocated
0xffffe08e7fa4c000	CM25	N/A	0x1000	Allocated
0xffffe08e837eb000	CM10	N/A	0x12e0	Allocated
0xffffe08e7f58a000	CM25	N/A	0x1000	Allocated
0xffffe08e7ff0e000	Gpbm	N/A	0x1000	Allocated
0xffff990ef2c56000	Cont	N/A	0x1000	Allocated
0xffffe08e7f0c8000	CM25	N/A	0x1000	Allocated
0xffffe08e83dfa000	Obtb	N/A	0x1000	Allocated
0xffffe08e7fb99000	CM25	N/A	0x1000	Allocated
0xffffe08e7f6d7000	CM25	N/A	0x1000	Allocated
0xffffe08e7f215000	CM25	N/A	0x1000	Allocated
0xffffe08e81cac000	RvaL	N/A	0x1290	Allocated
0xffffe08e817ea000	CM16	N/A	0x2000	Allocated
0xffffe08e7d589000	MmSt	N/A	0x4250	Allocated
0xffffe08e7df0d000	MmSt	N/A	0x2a50	Allocated
0xffffe08e7c281000	MiRr	N/A	0x82d0	Allocated
0xffffe08e7f69c000	CM25	N/A	0x2000	Allocated
0xffffe08e7f1da000	CM25	N/A	0x1000	Allocated
0xffffe08e83dbf000	CM26	N/A	0x3000	Allocated
0xffffe08e7fb5e000	CM25	N/A	0x1000	Allocated
0xffff990ef2b7f000	Cont	N/A	0x1000	Allocated
0xffff990eee91e000	EtwB	N/A	0x10000	Allocated
0xffffe08e817af000	CM16	N/A	0x1000	Allocated
0xffffe08e7f661000	CM25	N/A	0x1000	Allocated
0xffffe08e85afc000	CMCa	N/A	0x3000	Allocated
0xffffe08e7dafc000	MSum	N/A	0x1000	Allocated
0xffffe08e834ec000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7f28b000	CM25	N/A	0x1000	Allocated
0xffffe08e7f74d000	CM25	N/A	0x1000	Allocated
0xffff990ef2f90000	Cont	N/A	0x1000	Allocated
0xffffe08e7d5ff000	MmSt	N/A	0x1000	Allocated
0xffffe08e855ff000	Obtb	N/A	0x1000	Allocated
0xffffe08e7fbd4000	CM25	N/A	0x1000	Allocated
0xffffe08e7f712000	CM25	N/A	0x1000	Allocated
0xffffe08e7f250000	CM25	N/A	0x1000	Allocated
0xffffe08e87250000	Gpbm	N/A	0x2650	Allocated
0xffffe08e85102000	fpct	N/A	0x18000	Allocated
0xffffe08e80ea1000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f33c000	CM25	N/A	0x2000	Allocated
0xffffe08e7f7fe000	CM25	N/A	0x1000	Allocated
0xffffe08e85b72000	MmRe	N/A	0x2820	Allocated
0xffffe08e7cd2c000	RtFo	N/A	0x13e0	Allocated
0xffff990ef2f55000	Cont	N/A	0x1000	Allocated
0xffffe08e7fc85000	CM16	N/A	0x1000	Allocated
0xffffe08e7fc4a000	Clfs	N/A	0x1000	Allocated
0xffffe08e839e9000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f788000	CM25	N/A	0x1000	Allocated
0xffffe08e7f2c6000	CM25	N/A	0x1000	Allocated
0xffffe08e872c6000	Gpbm	N/A	0x2650	Allocated
0xffffe08e7d29f000	MmSt	N/A	0x20000	Allocated
0xffffe08e7f874000	CM25	N/A	0x1000	Allocated
0xffffe08e7f3b2000	CM25	N/A	0x1000	Allocated
0xffffe08e83151000	CM16	N/A	0x2000	Allocated
0xffff990ef2ea4000	Cont	N/A	0x1000	Allocated
0xffffe08e7fd36000	Obtb	N/A	0x1000	Allocated
0xffff990ef2edf000	Cont	N/A	0x1000	Allocated
0xffffe08e81e49000	CM29	N/A	0x3000	Allocated
0xffffe08e7dbe8000	MSum	N/A	0x1000	Allocated
0xffff990eeff10000	AmlH	N/A	0x80000	Allocated
0xffffe08e87cfb000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f839000	CM25	N/A	0x1000	Allocated
0xffff990ef6284000	MmAc	N/A	0x1000	Allocated
0xffffe08e7f377000	CM25	N/A	0x2000	Allocated
0xffffe08e83116000	CM16	N/A	0x1000	Allocated
0xffffe08e8148a000	RvaL	N/A	0x80c0	Allocated
0xffffe08e81e0e000	CM16	N/A	0x1000	Allocated
0xffff990ef2d0b000	Cont	N/A	0x1000	Allocated
0xffffe08e80791000	Obtb	N/A	0x1000	Allocated
0xffffe08e88791000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f94b000	CM25	N/A	0x1000	Allocated
0xffff990ef2cd0000	Cont	N/A	0x1000	Allocated
0xffffe08e81f20000	CM16	N/A	0x1000	Allocated
0xffffe08e85cbf000	EtwB	N/A	0x4000	Allocated
0xffffe08e7f910000	CM25	N/A	0x1000	Allocated
0xffffe08e7f44e000	CM25	N/A	0x1000	Allocated
0xffffe08e81ee5000	CM16	N/A	0x1000	Allocated
0xffffe08e7f9fc000	CM25	N/A	0x1000	Allocated
0xffffe08e7f53a000	CM25	N/A	0x1000	Allocated
0xffffe08e832d9000	MmRe	N/A	0xd670	Allocated
0xffffe08e7f078000	CM17	N/A	0x3000	Allocated
0xffffe08e853ec000	Obtb	N/A	0x1000	Allocated
0xffff990ef445f000	MmAc	N/A	0x1000	Allocated
0xffffe08e81b0f000	CIsc	N/A	0x1500	Allocated
0xffffe08e7d8ae000	MmSt	N/A	0x1000	Allocated
0xffff990eeeef6000	MmAc	N/A	0x1000	Allocated
0xffff990ef2c95000	Cont	N/A	0x1000	Allocated
0xffffe08e7f9c1000	CM25	N/A	0x1000	Allocated
0xffff990ef27d3000	MiBc	N/A	0x7000	Allocated
0xffffe08e88345000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f4ff000	CM25	N/A	0x1000	Allocated
0xffffe08e7d873000	MmSt	N/A	0x2440	Allocated
0xffffe08e807cc000	MmRe	N/A	0x28d0	Allocated
0xffffe08e8830a000	RvaL	N/A	0x24b0	Allocated
0xffff990ef2c5a000	Cont	N/A	0x1000	Allocated
0xffff990eee9f9000	EtwB	N/A	0x2000	Allocated
0xffffe08e7f4c4000	CM25	N/A	0x1000	Allocated
0xffff990ef22d6000	Wdog	N/A	0x1000	Allocated
0xffffe08e7f002000	ClfI	N/A	0x11000	Allocated
0xffffe08e8bbe7000	MmRe	N/A	0x1ee0	Allocated
0xffffe08e7f986000	CM25	N/A	0x2000	Allocated
0xffffe08e8595f000	Obtb	N/A	0x1000	Allocated
0xffffe08e816fe000	CM16	N/A	0x1000	Allocated
0xffffe08e7fa72000	CM25	N/A	0x1000	Allocated
0xffff990ef2be4000	Cont	N/A	0x1000	Allocated
0xffffe08e888b8000	RvaL	N/A	0x1be0	Allocated
0xffff990ef64c1000	WPCT	N/A	0x1000	Allocated
0xffff990ef2c1f000	Cont	N/A	0x1000	Allocated
0xffffe08e7f5b0000	CM25	N/A	0x1000	Allocated
0xffffe08e7f0ee000	CM25	N/A	0x1000	Allocated
0xffffe08e870ee000	Obtb	N/A	0x1000	Allocated
0xffffe08e816c3000	CM16	N/A	0x1000	Allocated
0xffffe08e7fef9000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7fa37000	CM25	N/A	0x1000	Allocated
0xffffe08e7f575000	CM25	N/A	0x1000	Allocated
0xffffe08e7caa3000	CM29	N/A	0x3000	Allocated
0xffffe08e81688000	CM16	N/A	0x1000	Allocated
0xffff990ef2b6e000	Cont	N/A	0x1000	Allocated
0xffffe08e7f19f000	CM25	N/A	0x1000	Allocated
0xffffe08e81774000	CM16	N/A	0x1000	Allocated
0xffffe08e85051000	MmRe	N/A	0x1bb0	Allocated
0xffff990ef4c81000	MmAc	N/A	0x1000	Allocated
0xffffe08e7d9d5000	MmSt	N/A	0x19c0	Allocated
0xffffe08e7c20b000	MiRr	N/A	0x2ad0	Allocated
0xffffe08e87faa000	fpcw	N/A	0x2b000	Allocated
0xffffe08e7c6cd000	VmRb	N/A	0x4000	Allocated
0xffffe08e7fae8000	CM25	N/A	0x1000	Allocated
0xffffe08e7f626000	CM25	N/A	0x1000	Allocated
0xffffe08e7d99a000	MmSt	N/A	0x1000	Allocated
0xffffe08e81739000	CM16	N/A	0x1000	Allocated
0xffffe08e808f3000	CM16	N/A	0x1000	Allocated
0xffffe08e80431000	Gcac	N/A	0x9000	Allocated
0xffffe08e8384c000	CM26	N/A	0x3000	Allocated
0xffffe08e7f5eb000	CM25	N/A	0x1000	Allocated
0xffffe08e7f129000	CM25	N/A	0x1000	Allocated
0xffffe08e7ff6f000	Gpbm	N/A	0x1000	Allocated
0xffffe08e87aad000	WtdJ	N/A	0x1320	Allocated
0xffffe08e83e5b000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7fbfa000	CM25	N/A	0x1000	Allocated
0xffffe08e7f738000	CM25	N/A	0x1000	Allocated
0xffffe08e7f276000	CM25	N/A	0x1000	Allocated
0xffff990ef2f59000	Cont	N/A	0x1000	Allocated
0xffffe08e81d0d000	RvaL	N/A	0x3300	Allocated
0xffffe08e7f23b000	CM25	N/A	0x1000	Allocated
0xffff990ef41eb000	MmAc	N/A	0x1000	Allocated
0xffffe08e7fbbf000	CM25	N/A	0x1000	Allocated
0xffffe08e7f6fd000	CM25	N/A	0x1000	Allocated
0xffffe08e876fd000	Obtb	N/A	0x1000	Allocated
0xffff990ef2ee3000	Cont	N/A	0x1000	Allocated
0xffff990ef2a21000	MmAc	N/A	0x1000	Allocated
0xffffe08e809ca000	CM26	N/A	0x3000	Allocated
0xffff990ef67fb000	MmAc	N/A	0x1000	Allocated
0xffffe08e7fb84000	CM25	N/A	0x1000	Allocated
0xffffe08e7f6c2000	CM25	N/A	0x1000	Allocated
0xffffe08e818fc000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7db5d000	MmSt	N/A	0x3160	Allocated
0xffff990ef2ea8000	Cont	N/A	0x1000	Allocated
0xffffe08e83ed1000	Gpbm	N/A	0x1000	Allocated
0xffffe08e80f78000	MiRr	N/A	0x82d0	Allocated
0xffffe08e7cd17000	CM29	N/A	0x3000	Allocated
0xffff990ef62fe000	MmAc	N/A	0x1000	Allocated
0xffffe08e7fc70000	Clfs	N/A	0x1000	Allocated
0xffffe08e7f7ae000	CM25	N/A	0x1000	Allocated
0xffffe08e7db22000	MSum	N/A	0x1000	Allocated
0xffffe08e805b9000	MmRe	N/A	0x1600	Allocated
0xffffe08e813ff000	Obtb	N/A	0x1000	Allocated
0xffffe08e7f773000	CM25	N/A	0x1000	Allocated
0xffffe08e7f2b1000	CM25	N/A	0x2000	Allocated
0xffffe08e7fc35000	CMCa	N/A	0x3000	Allocated
0xffff990ef4175000	EtwB	N/A	0x10000	Allocated
0xffffe08e8313c000	CM16	N/A	0x1000	Allocated
0xffffe08e7f85f000	CM25	N/A	0x1000	Allocated
0xffffe08e835fe000	Gpbm	N/A	0x1000	Allocated
0xffffe08e7f39d000	CM25	N/A	0x1000	Allocated
0xffffe08e81e34000	CM16	N/A	0x1000	Allocated
0xffffe08e7dbd3000	MmSt	N/A	0x1540	Allocated
0xffffe08e7f824000	CM25	N/A	0x1000	Allocated
0xffffe08e87824000	MmRe	N/A	0x70000	Allocated
