Volatility 3 Framework 2.28.1

Offset	Name
0xc08eaac90b50	\Program Files (x86)\Microsoft Office\root\vregwow6432\proofing.msi.16.en-us.vreg.dat
0xc08eaaca4d60	\Windows\System32\DeviceCensus.exe
0xc08eaaca4ef0	\Windows\System32\en-US\wscapi.dll.mui
0xc08eaacad580	\Windows\Prefetch\DLLHOST.EXE-9037274D.pf
0xc08eaacb1390	\Windows\rescache\rc0000\ResCache.hit
0xc08eaacb2080	\Windows\servicing\TrustedInstaller.exe
0xc08eaacb2640	\Windows\WinSxS\Temp\PendingRenames\4623fea9c4a9d7011d000000dc4a3448.programdata.cdf-ms
0xc08eaacb5e50	\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvc.dll
0xc08eaacb6ef0	\ProgramData\USOShared\Logs\UpdateSessionOrchestration.089.etl
0xc08eaacbe9b0	\Windows\Temp\BASE-WKSTN-01-20210221-0827.log
0xc08eaacc0630	\Program Files (x86)\McAfee\VirusScan Enterprise\WscAv.dll
0xc08eaacc5080	\Windows\WinSxS\FileMaps\_0000000000000000.cdf-ms
0xc08eaacc6080	\Windows\System32\mlang.dll
0xc08eaaccaac0	\$MapAttributeValue
0xc08eaacd2b40	\ProgramData\McAfee\Agent\AgentEvents\Upload\mc_20210909174356365433200034440.xml
0xc08eaacd66e0	\Windows\SysWOW64\Windows.Web.dll
0xc08eaacde6a0	\Windows\System32\winevt\Logs\Microsoft-Windows-WindowsSystemAssessmentTool%4Operational.evtx
0xc08eaacec870	\Windows\System32\winevt\Logs\Microsoft-Windows-AppXDeploymentServer%4Restricted.evtx
0xc08eaaced080	\Program Files (x86)\Microsoft Office\root\Office16\msfad.dll
0xc08eaacf0080	\Windows\System32\SleepStudy\ScreenOn\ScreenOnPowerStudyTraceSession-2021-02-03-17-06-40.etl
0xc08eaacf7890	\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\SecStore\CiST0000.000
0xc08eaacfbef0	\Windows\System32\combase.dll
0xc08eaad023d0	\$Directory
0xc08eaad0c060	\$MapAttributeValue
0xc08eaad10540	\Windows\System32\SyncCenter.dll
0xc08eaad106d0	\Windows\Registration\R00000000000d.clb
0xc08eaad18080	\Program Files (x86)\Microsoft Office\root\Licenses16\O365HomePremR_SubTrial5-ul-oob.xrm-ms
0xc08eaad1da60	\Windows\SysWOW64\schannel.dll
0xc08eaad204e0	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Microsoft.Mashup.Client.Excel.dll
0xc08eaad2d360	\$MapAttributeValue
0xc08eaad30250	\Windows\System32\wow64win.dll
0xc08eaad3cef0	\Program Files (x86)\Microsoft Office\root\Licenses16\Outlook2019R_Trial-pl.xrm-ms
0xc08eaad40ef0	\Program Files (x86)\Microsoft Office\root\Licenses16\Professional2019R_OEM_Perp-ul-phn.xrm-ms
0xc08eaad48e10	\Program Files (x86)\Microsoft Office\root\Office16\MSOHEV.DLL
0xc08eaad5e580	\$MapAttributeValue
0xc08eaad5f580	\Windows\System32\AppxSip.dll
