Volatility 3 Framework 2.28.1

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name
-	Author	-	True	-	2021-02-21 13:27:26.000000 UTC	-	Session	Unknown	Exe	C:\Program Files (x86)\Microsoft Office\root\Office16\sdxhelper.exe	/onlogon	Author	-	{113FB934-E81C-414C-938A-8C289FFCC58A}
Windows Defender Verification	LocalSystem	-	-	2021-09-16 01:52:15.000000 UTC	2020-09-21 00:31:43.000000 UTC	2021-09-16 01:52:27.000000 UTC	-	-	Exe	C:\Program Files\Windows Defender\MpCmdRun.exe	-IdleTask -TaskName WdVerification	LocalSystem	-	{149C3881-E0F1-4560-A1C2-5CC3B4A4BB11}
StartupAppTask	Users	-	-	2021-02-03 14:15:02.000000 UTC	2018-05-03 18:22:00.000000 UTC	2021-02-03 14:15:02.000000 UTC	-	-	Exe	%windir%\system32\rundll32.exe	Startupscan.dll,SusRunTask	Users	-	{158D3281-FEB3-47C2-87B9-EE652382C0AB}
PerformRemediation	LocalSystem	-	True	2021-09-16 00:00:51.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-16 00:01:12.000000 UTC	Time	-	Exe	%systemroot%\System32\WaaSMedic.exe	None	LocalSystem	-	{16A2AC70-D64E-4551-988D-74521DE45481}
Recovery-Check	InteractiveUsers	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Logon	Logon trigger	Exe	%SystemRoot%\System32\dsregcmd.exe	/checkrecovery	InteractiveUsers	-	{17A68EC1-555F-454C-9497-A48240207E9F}
Adobe Acrobat Update Task	Author	-	True	2021-02-03 01:00:00.000000 UTC	2020-09-21 00:47:34.000000 UTC	2021-02-03 01:00:10.000000 UTC	Logon	Logon trigger	-	-	-	Author	-	{17CF68F8-5D23-419E-81B3-9F6BA646F52F}
Adobe Acrobat Update Task	Author	-	True	2021-02-03 01:00:00.000000 UTC	2020-09-21 00:47:34.000000 UTC	2021-02-03 01:00:10.000000 UTC	Time	-	-	-	-	Author	-	{17CF68F8-5D23-419E-81B3-9F6BA646F52F}
UsbCeip	LocalSystem	-	-	2021-09-12 11:52:01.000000 UTC	2018-04-28 18:22:00.000000 UTC	2021-09-12 11:52:02.000000 UTC	-	-	ComHandler	{c27f6b1d-fe0b-45e4-9257-38799fa69bc8}	SYSTEM	LocalSystem	N/A	{186E9E68-B19B-4176-A17A-52E89C77CE3C}
.NET Framework NGEN v4.0.30319 64 Critical	Author	-	True	2018-05-07 19:40:40.000000 UTC	2018-05-04 18:22:00.000000 UTC	2018-05-07 19:43:12.000000 UTC	Logon	Logon trigger	ComHandler	{613fba38-a3df-4ab8-9674-5604984a299a}	/RuntimeWide	Author	N/A	{189D42EF-2591-48A8-B909-B9641012E4A0}
MapsUpdateTask	NetworkService	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Time	-	ComHandler	{b9033e87-33cf-4d77-bc9b-895afbba72e4}	-	NetworkService	N/A	{1AC6AC41-1738-4927-B753-9C8950F7EAC8}
WinSAT	$creator	-	-	-	2018-05-01 18:22:00.000000 UTC	-	-	-	ComHandler	{a9a33436-678b-4c9c-a211-7cc38785e79d}	-	$creator	N/A	{1E292176-992E-47B7-A51F-8272CD6AC2EF}
RegisterDeviceSettingChange	System	-	True	2019-06-14 20:19:55.000000 UTC	2018-05-04 18:22:00.000000 UTC	2019-06-14 20:19:55.000000 UTC	WindowsNotificationFacility	WNF state 75f8bca33e06830d	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange -Full	System	N/A	{22CE4332-A8D7-4E5F-A8B1-CDF64CD796D8}
RegisterDeviceSettingChange	System	-	True	2019-06-14 20:19:55.000000 UTC	2018-05-04 18:22:00.000000 UTC	2019-06-14 20:19:55.000000 UTC	WindowsNotificationFacility	WNF state 7520bca321078541	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange -Full	System	N/A	{22CE4332-A8D7-4E5F-A8B1-CDF64CD796D8}
UserTask-Roam	InteractiveUsers	-	True	2021-02-03 21:50:39.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 21:50:39.000000 UTC	Session	Unknown	ComHandler	{58fb76b9-ac85-4e55-ac04-427593b1d060}	KEYROAMING	InteractiveUsers	N/A	{2314E520-E0D7-4B46-8EB4-7FEAA89B859C}
UserTask-Roam	InteractiveUsers	-	True	2021-02-03 21:50:39.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 21:50:39.000000 UTC	Session	Unknown	ComHandler	{58fb76b9-ac85-4e55-ac04-427593b1d060}	KEYROAMING	InteractiveUsers	N/A	{2314E520-E0D7-4B46-8EB4-7FEAA89B859C}
StartComponentCleanup	System	-	-	2021-09-12 11:52:01.000000 UTC	2018-04-29 18:22:00.000000 UTC	2021-09-12 11:52:02.000000 UTC	-	-	ComHandler	{752073a1-23f2-4396-85f0-8fdb879ed0ed}	-	System	N/A	{24027046-B56F-4E19-9487-1C8F984C270B}
SynchronizeTimeZone	Author	-	-	2021-09-12 23:52:03.000000 UTC	2018-05-01 18:22:00.000000 UTC	2021-09-12 23:52:22.000000 UTC	-	-	-	-	-	Author	-	{2646432D-A31A-41EC-88D5-495FF767E1ED}
FamilySafetyMonitor	System	-	-	-	2018-05-04 18:22:00.000000 UTC	-	-	-	-	-	-	System	-	{26810429-E00E-44DC-8EB3-0F924A856085}
RegisterDeviceLocationRightsChange	System	-	True	-	2018-05-04 18:22:00.000000 UTC	-	WindowsNotificationFacility	WNF state 7538bca321089541	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -SettingChange -NoLocation	System	N/A	{27063F07-F01A-4F6E-8A90-DF0D9F497D77}
Maintenance Install	Author	-	-	-	2016-11-21 01:58:00.000000 UTC	-	-	-	Exe	%systemroot%\system32\usoclient.exe	StartInstall	Author	-	{292EC474-C640-440C-AA80-4695A6118CBF}
License Validation	LocalSystem	-	False	-	2018-05-04 18:22:00.000000 UTC	-	Boot	Boot trigger	Exe	%SystemRoot%\system32\ClipUp.exe	-p -s -o	LocalSystem	-	{2C807F3D-B764-4990-BE1A-C2466CA7CF8E}
-	Author	-	True	2018-05-04 17:23:36.000000 UTC	2018-01-05 22:08:28.000000 UTC	2018-05-04 17:23:39.000000 UTC	Time	-	-	-	-	Author	-	{2E643666-1A15-4B48-8534-686DF197BB59}
-	Author	-	True	2018-05-04 17:23:36.000000 UTC	2018-01-05 22:08:28.000000 UTC	2018-05-04 17:23:39.000000 UTC	Logon	Logon trigger	-	-	-	Author	-	{2E643666-1A15-4B48-8534-686DF197BB59}
Microsoft-Windows-DiskDiagnosticResolver	AllUsers	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Logon	Logon trigger	-	-	-	AllUsers	-	{30640F6A-D10F-4FA9-9B1F-1384548CA2CD}
SpeechModelDownloadTask	NetworkService	-	True	2021-09-15 04:00:00.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-15 04:00:00.000000 UTC	Time	-	-	-	-	NetworkService	-	{32274688-6925-4C3C-AC5D-E7F3278E9F9E}
HybridDriveCachePrepopulate	LocalSystem	-	-	-	2018-05-04 18:22:00.000000 UTC	-	-	-	ComHandler	{17c82257-654e-4c47-8e23-dca24eaa76a0}	-	LocalSystem	N/A	{35586928-753A-4F72-9A56-EAB9F75B4092}
LoginCheck	LocalSystem	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Logon	Logon trigger	Exe	%windir%\system32\sc.exe	start pushtoinstall login	LocalSystem	-	{36713542-0103-4035-B316-A447E72506AC}
-	Users	-	True	-	2018-05-04 18:22:00.000000 UTC	-	WindowsNotificationFacility	WNF state 7520bca33a19870f	Exe	%SystemRoot%\System32\WiFiTask.exe	wwan	Users	-	{36EECAE1-3E34-4A61-8394-42D7F23F0455}
sih	LocalSystem	-	True	2021-09-16 00:33:59.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-16 00:34:01.000000 UTC	Time	-	-	-	-	LocalSystem	-	{37292EA8-F458-47ED-A55C-5A3A1CCF5FD5}
sihboot	-	-	-	-	-	-	-	-	-	-	-	-	-	{37449A31-039E-4B1D-8F13-E8C24D7833D4}
Data Integrity Scan	LocalSystem	-	False	-	2018-05-04 18:22:00.000000 UTC	-	Time	-	ComHandler	{dcfd3ea8-d960-4719-8206-490ae315f94f}	-	LocalSystem	N/A	{3C0B9BA7-7D02-4CCC-AE36-5E5F3CD1F9A3}
Data Integrity Scan	LocalSystem	-	False	-	2018-05-04 18:22:00.000000 UTC	-	Boot	Boot trigger	ComHandler	{dcfd3ea8-d960-4719-8206-490ae315f94f}	-	LocalSystem	N/A	{3C0B9BA7-7D02-4CCC-AE36-5E5F3CD1F9A3}
HiveUploadTask	LocalSystem	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Time	-	ComHandler	{ba677074-762c-444b-94c8-8c83f93f6605}	-	LocalSystem	N/A	{3C336B7D-4F6B-4B02-8478-EAD76B10C9AD}
{A7719E0F-10DB-4640-AD8C-490CC6AD5202}	Author	-	True	2021-09-16 01:37:00.000000 UTC	2018-05-07 21:48:25.000000 UTC	2021-09-16 01:37:05.000000 UTC	Time	-	Exe	gpupdate.exe	/target:user	Author	-	{4014CB54-1636-4F6A-A31F-4BED8992690B}
{A7719E0F-10DB-4640-AD8C-490CC6AD5202}	Author	-	False	2021-09-16 01:37:00.000000 UTC	2018-05-07 21:48:25.000000 UTC	2021-09-16 01:37:05.000000 UTC	WindowsNotificationFacility	WNF state 7508bca33a0d8b41	Exe	gpupdate.exe	/target:user	Author	-	{4014CB54-1636-4F6A-A31F-4BED8992690B}
StorageSense	Authenticated Users	-	-	2021-02-03 00:07:45.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 00:08:02.000000 UTC	-	-	ComHandler	{ab2a519b-3b0-43ce-940a-a73df850b49a}	-	Authenticated Users	N/A	{4028F806-9647-43EC-87FA-8B810DFD9141}
Sysmon Update	Author	-	True	2021-09-16 02:38:56.000000 UTC	2019-12-22 16:23:26.000000 UTC	2021-09-16 02:39:18.000000 UTC	Time	-	-	-	-	Author	-	{41CBEE09-EED4-4651-B2C7-09BEB7B01720}
AD RMS Rights Policy Template Management (Automated)	AllUsers	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Time	-	ComHandler	{cf2cf428-325b-48d3-8ca8-7633e36e5a32}	-	AllUsers	N/A	{4296989E-CB82-465D-9B7A-E709F8492C99}
