L3214: 3860	svchost.exe	0x7fffd74a0000	0x29000	srvcli.dll	c:\windows\system32\srvcli.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3215: 3860	svchost.exe	0x7fffe84b0000	0xae000	clbcatq.dll	C:\WINDOWS\System32\clbcatq.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3216: 3860	svchost.exe	0x7fffd8470000	0x194000	wpncore.dll	C:\WINDOWS\System32\wpncore.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3217: 3860	svchost.exe	0x7fffe5cf0000	0x16a000	wintypes.dll	C:\WINDOWS\System32\wintypes.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3218: 3860	svchost.exe	0x7fffcd2c0000	0x148000	NotificationController.dll	C:\Windows\System32\NotificationController.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3219: 3860	svchost.exe	0x7fffe83d0000	0xd7000	OLEAUT32.dll	C:\WINDOWS\System32\OLEAUT32.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3220: 3860	svchost.exe	0x7fffe8190000	0xf7000	shcore.dll	C:\WINDOWS\System32\shcore.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3221: 3860	svchost.exe	0x7fffe39d0000	0x36000	RMCLIENT.dll	C:\Windows\System32\RMCLIENT.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3222: 3860	svchost.exe	0x7fffe5880000	0x5e000	powrprof.dll	C:\WINDOWS\SYSTEM32\powrprof.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3223: 3860	svchost.exe	0x7fffe5860000	0x14000	UMPDC.dll	C:\Windows\System32\UMPDC.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3224: 3860	svchost.exe	0x7fffe0bd0000	0x17000	usermgrcli.dll	C:\WINDOWS\SYSTEM32\usermgrcli.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3225: 3860	svchost.exe	0x7fffdde20000	0x652000	OneCoreUAPCommonProxyStub.dll	C:\Windows\System32\OneCoreUAPCommonProxyStub.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3226: 3860	svchost.exe	0x7fffcce80000	0x9b000	QuietHours.dll	C:\Windows\System32\QuietHours.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3227: 3860	svchost.exe	0x7fffe5f20000	0x864000	windows.storage.dll	C:\WINDOWS\System32\windows.storage.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3228: 3860	svchost.exe	0x7fffe8120000	0x67000	shlwapi.dll	C:\WINDOWS\System32\shlwapi.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3229: 3860	svchost.exe	0x7fffe5920000	0x29000	profapi.dll	C:\WINDOWS\System32\profapi.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3230: 3860	svchost.exe	0x7fffe57b0000	0x63000	winsta.dll	C:\WINDOWS\SYSTEM32\winsta.dll	-1	2026-05-12 18:23:31.000000 UTC	Disabled
L3231: 3860	svchost.exe	0x7fffe1550000	0xb4000	policymanager.dll	C:\WINDOWS\SYSTEM32\policymanager.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
L3232: 3860	svchost.exe	0x7fffd9400000	0x10f000	winsqlite3.dll	C:\WINDOWS\System32\winsqlite3.dll	6	2026-05-12 18:23:31.000000 UTC	Disabled
