L3422: 5432	StartMenuExper	0x7ffff7c20000	0x1c5000	user32.dll	C:\WINDOWS\System32\user32.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3423: 5432	StartMenuExper	0x7ffff69f0000	0x27000	win32u.dll	C:\WINDOWS\System32\win32u.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3424: 5432	StartMenuExper	0x7ffff90f0000	0x2b000	GDI32.dll	C:\WINDOWS\System32\GDI32.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3425: 5432	StartMenuExper	0x7ffff6c30000	0x12b000	gdi32full.dll	C:\WINDOWS\System32\gdi32full.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3426: 5432	StartMenuExper	0x7ffff9730000	0x31000	IMM32.DLL	C:\WINDOWS\System32\IMM32.DLL	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3427: 5432	StartMenuExper	0x7fffefa40000	0x156000	Windows.UI.dll	C:\Windows\System32\Windows.UI.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3428: 5432	StartMenuExper	0x7ffff3700000	0x127000	CoreMessaging.dll	C:\WINDOWS\SYSTEM32\CoreMessaging.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3429: 5432	StartMenuExper	0x7fffeca30000	0x652000	OneCoreUAPCommonProxyStub.dll	C:\Windows\System32\OneCoreUAPCommonProxyStub.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3430: 5432	StartMenuExper	0x7ffff3d40000	0xaa000	uxtheme.dll	C:\WINDOWS\system32\uxtheme.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3431: 5432	StartMenuExper	0x7fffedb90000	0x1dd000	urlmon.dll	C:\WINDOWS\SYSTEM32\urlmon.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3432: 5432	StartMenuExper	0x7ffff6d60000	0x864000	windows.storage.dll	C:\WINDOWS\System32\windows.storage.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3433: 5432	StartMenuExper	0x7ffff8710000	0x75f000	SHELL32.dll	C:\WINDOWS\System32\SHELL32.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3434: 5432	StartMenuExper	0x7ffff8f00000	0xd7000	OLEAUT32.dll	C:\WINDOWS\System32\OLEAUT32.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3435: 5432	StartMenuExper	0x7ffff3e70000	0x13e000	dxgi.dll	C:\WINDOWS\SYSTEM32\dxgi.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3436: 5432	StartMenuExper	0x7ffff61c0000	0x5e000	powrprof.dll	C:\WINDOWS\SYSTEM32\powrprof.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3437: 5432	StartMenuExper	0x7ffff61a0000	0x14000	UMPDC.dll	C:\WINDOWS\SYSTEM32\UMPDC.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3438: 5432	StartMenuExper	0x7ffff4170000	0x43000	dxcore.dll	C:\WINDOWS\SYSTEM32\dxcore.dll	-1	2026-05-13 19:15:49.000000 UTC	Disabled
L3439: 5432	StartMenuExper	0x7fffdaa90000	0x594000	Microsoft.UI.Xaml.dll	C:\Windows\SystemApps\Microsoft.UI.Xaml.CBS_8wekyb3d8bbwe\Microsoft.UI.Xaml.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3440: 5432	StartMenuExper	0x7ffff2660000	0x63a000	d2d1.dll	C:\WINDOWS\SYSTEM32\d2d1.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3441: 5432	StartMenuExper	0x7ffff1470000	0x60000	directxdatabasehelper.dll	C:\WINDOWS\SYSTEM32\directxdatabasehelper.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
L3442: 5432	StartMenuExper	0x7fffe2ef0000	0x647000	windowsudk.shellcommon.dll	C:\WINDOWS\system32\windowsudk.shellcommon.dll	6	2026-05-13 19:15:49.000000 UTC	Disabled
