Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0x990ef2287060	DRV	KSecDD	N/A	N/A	N/A
* 0x990ef2287060	DEV	KSecDD	KsecDD	N/A	FILE_DEVICE_KSEC
0x990ef2287a70	DRV	DXGKrnl	N/A	N/A	N/A
* 0x990ef2287a70	DEV	DXGKrnl	DxgKrnl	N/A	FILE_DEVICE_UNKNOWN
0x990ef228adf0	DRV	Fs_Rec	N/A	N/A	N/A
* 0x990ef228adf0	DEV	Fs_Rec	CdfsRecognizer	N/A	FILE_DEVICE_CD_ROM_FILE_SYSTEM
0x990ef228e960	DRV	NDIS	N/A	N/A	N/A
* 0x990ef228e960	DEV	NDIS	kloader	N/A	FILE_DEVICE_NETWORK
0x990ef2291c80	DRV	KSecPkg	N/A	N/A	N/A
0x990ef22dcc30	DRV	Tcpip	N/A	N/A	N/A
* 0x990ef22dcc30	DEV	Tcpip	eQoS	N/A	FILE_DEVICE_NETWORK
0x990ef23758f0	DRV	volume	N/A	N/A	N/A
* 0x990ef23758f0	DEV	volume	-	N/A	FILE_DEVICE_DISK
** 0x990ef23758f0	ATT	volume	-	\Driver\volsnap	FILE_DEVICE_DISK
0x990ef2375b10	DRV	volsnap	N/A	N/A	N/A
* 0x990ef2375b10	DEV	volsnap	-	N/A	FILE_DEVICE_DISK
0x990ef23978f0	DRV	fvevol	N/A	N/A	N/A
* 0x990ef23978f0	DEV	fvevol	-	N/A	FILE_DEVICE_DISK
** 0x990ef23978f0	ATT	fvevol	-	\Driver\iorate	FILE_DEVICE_DISK
*** 0x990ef23978f0	ATT	fvevol	-	\Driver\rdyboost	FILE_DEVICE_DISK
**** 0x990ef23978f0	ATT	fvevol	-	\Driver\volume	FILE_DEVICE_DISK
***** 0x990ef23978f0	ATT	fvevol	-	\Driver\volsnap	FILE_DEVICE_DISK
0x990ef2397de0	DRV	Npfs	N/A	N/A	N/A
* 0x990ef2397de0	DEV	Npfs	NamedPipe	N/A	FILE_DEVICE_NAMED_PIPE
** 0x990ef2397de0	ATT	Npfs	-	\FileSystem\FltMgr	FILE_DEVICE_NAMED_PIPE
0x990ef23d8cf0	DRV	WFPLWFS	N/A	N/A	N/A
* 0x990ef23d8cf0	DEV	WFPLWFS	WFPL2DPConfig	N/A	FILE_DEVICE_NETWORK
0x990ef23f4a10	DRV	rdyboost	N/A	N/A	N/A
* 0x990ef23f4a10	DEV	rdyboost	-	N/A	FILE_DEVICE_DISK
** 0x990ef23f4a10	ATT	rdyboost	-	\Driver\volume	FILE_DEVICE_DISK
*** 0x990ef23f4a10	ATT	rdyboost	-	\Driver\volsnap	FILE_DEVICE_DISK
0x990ef23f4c30	DRV	nvmedisk	N/A	N/A	N/A
0x990ef2424c30	DRV	Mup	N/A	N/A	N/A
* 0x990ef2424c30	DEV	Mup	Mup	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
** 0x990ef2424c30	ATT	Mup	-	\FileSystem\FltMgr	FILE_DEVICE_NETWORK_FILE_SYSTEM
0x990ef242be10	DRV	iorate	N/A	N/A	N/A
* 0x990ef242be10	DEV	iorate	-	N/A	FILE_DEVICE_DISK
** 0x990ef242be10	ATT	iorate	-	\Driver\rdyboost	FILE_DEVICE_DISK
*** 0x990ef242be10	ATT	iorate	-	\Driver\volume	FILE_DEVICE_DISK
**** 0x990ef242be10	ATT	iorate	-	\Driver\volsnap	FILE_DEVICE_DISK
0x990ef242de10	DRV	disk	N/A	N/A	N/A
* 0x990ef242de10	DEV	disk	DR0	N/A	FILE_DEVICE_DISK
** 0x990ef242de10	ATT	disk	-	\Driver\partmgr	FILE_DEVICE_DISK
0x990ef2432e10	DRV	srv2	N/A	N/A	N/A
* 0x990ef2432e10	DEV	srv2	Srv2	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0x990ef25398a0	DRV	Beep	N/A	N/A	N/A
* 0x990ef25398a0	DEV	Beep	Beep	N/A	FILE_DEVICE_BEEP
0x990ef25d4330	DRV	BasicRender	N/A	N/A	N/A
* 0x990ef25d4330	DEV	BasicRender	-	N/A	FILE_DEVICE_VIDEO
0x990ef26c4570	DRV	PEAUTH	N/A	N/A	N/A
* 0x990ef26c4570	DEV	PEAUTH	PEAuth	N/A	FILE_DEVICE_UNKNOWN
0x990ef26cb970	DRV	nsiproxy	N/A	N/A	N/A
* 0x990ef26cb970	DEV	nsiproxy	Nsi	N/A	FILE_DEVICE_NETWORK
0x990ef26cce20	DRV	Null	N/A	N/A	N/A
* 0x990ef26cce20	DEV	Null	Null	N/A	FILE_DEVICE_NULL
0x990ef26dae10	DRV	Dfsc	N/A	N/A	N/A
* 0x990ef26dae10	DEV	Dfsc	DfsClient	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0x990ef26dbe10	DRV	bam	N/A	N/A	N/A
* 0x990ef26dbe10	DEV	bam	Bam	N/A	FILE_DEVICE_UNKNOWN
0x990ef26e7060	DRV	WscVReg	N/A	N/A	N/A
* 0x990ef26e7060	DEV	WscVReg	VRegDriver	N/A	FILE_DEVICE_UNKNOWN
0x990ef26ea060	DRV	CompositeBus	N/A	N/A	N/A
* 0x990ef26ea060	DEV	CompositeBus	-	N/A	FILE_DEVICE_BUS_EXTENDER
0x990ef26ea2c0	DRV	RegistryHiveCacheDriver	N/A	N/A	N/A
0x990ef2715d50	DRV	AFD	N/A	N/A	N/A
* 0x990ef2715d50	DEV	AFD	NameResTrk	N/A	FILE_DEVICE_NETWORK
0x990ef2717300	DRV	NdisCap	N/A	N/A	N/A
0x990ef27182f0	DRV	NetBIOS	N/A	N/A	N/A
* 0x990ef27182f0	DEV	NetBIOS	Netbios	N/A	FILE_DEVICE_TRANSPORT
0x990ef2718a80	DRV	afunix	N/A	N/A	N/A
0x990ef271db00	DRV	mssmbios	N/A	N/A	N/A
* 0x990ef271db00	DEV	mssmbios	-	N/A	FILE_DEVICE_UNKNOWN
0x990ef2739e10	DRV	cdrom	N/A	N/A	N/A
* 0x990ef2739e10	DEV	cdrom	CdRom1	N/A	FILE_DEVICE_CD_ROM
0x990ef273e330	DRV	BasicDisplay	N/A	N/A	N/A
* 0x990ef273e330	DEV	BasicDisplay	Video1	N/A	FILE_DEVICE_VIDEO
0x990ef273fe10	DRV	FileCrypt	N/A	N/A	N/A
