Volatility 3 Framework 2.28.1

Offset	Name
0x990ef67d5de0	N/A
0x990ef67d8540	N/A
0x990ef67db060	N/A
0x990ef67db420	N/A
0x990ef67dbec0	N/A
0x990ef67dcd20	N/A
0x990ef6935e70	SM0:2696:304:WilStaging_02
0x990ef69362f0	usbhub_Perf_Library_Lock_PID_c48
0x990ef69365f0	SM0:2620:304:WilStaging_02
0x990ef6936fb0	SM0:2600:304:WilStaging_02
0x990ef6937130	SM0:2604:304:WilStaging_02
0x990ef69374f0	SM0:2612:304:WilStaging_02
0x990ef6937bb0	AudioResourceAcquisitionMutex
0x990ef69395f0	SM0:3144:304:WilStaging_02
0x990ef6939770	SM0:3200:304:WilStaging_02
0x990ef6939e30	SM0:2660:304:WilStaging_02
0x990ef693a130	Windows Workflow Foundation 4.0.0.0_Perf_Library_Lock_PID_c48
0x990ef693a7f0	SM0:2744:304:WilStaging_02
0x990ef693af70	SM0:3100:304:WilStaging_02
0x990ef693b570	SM0:2744:120:WilError_03
0x990ef693b6f0	SM0:3172:304:WilStaging_02
0x990ef693bc30	SM0:2988:304:WilStaging_02
0x990ef693bdb0	SM0:3252:304:WilStaging_02
0x990ef693bf30	SM0:2828:304:WilStaging_02
0x990ef693c6b0	SM0:3020:304:WilStaging_02
0x990ef693ca70	SM0:2936:304:WilStaging_02
0x990ef6a624a0	SM0:1960:304:WilStaging_02
0x990ef6a62560	SM0:1688:304:WilStaging_02
0x990ef6a62860	SM0:7152:304:WilStaging_02
0x990ef6a62920	SM0:1924:304:WilStaging_02
0x990ef6a62c20	SM0:1896:120:WilError_03
0x990ef6a62ce0	SM0:2168:304:WilStaging_02
0x990ef6a63220	SM0:2544:304:WilStaging_02
0x990ef6a63520	SM0:2136:304:WilStaging_02
0x990ef6a63ca0	SM0:4532:304:WilStaging_02
0x990ef6a64120	SM0:1632:120:WilError_03
0x990ef6a64420	SM0:1924:120:WilError_03
0x990ef6a644e0	SM0:1988:304:WilStaging_02
0x990ef6a64f60	SM0:2212:304:WilStaging_02
0x990ef6a64fc0	N/A
0x990ef6a651a0	SM0:2356:304:WilStaging_02
0x990ef6a65920	SM0:2128:304:WilStaging_02
0x990ef6b96380	N/A
0x990ef6b99760	N/A
0x990ef6b99da0	N/A
0x990ef6ba56a0	N/A
0x990ef6dfa370	SM0:2732:120:WilError_03
0x990ef6dfae90	N/A
0x990ef6dfaea0	N/A
0x990ef6dfaf10	N/A
0x990ef6dfce30	SM0:3284:120:WilError_03
