Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
0xc08eac0c7e60	DRV	volmgrx	N/A	N/A	N/A
0xc08eac0d05c0	DRV	mountmgr	N/A	N/A	N/A
* 0xc08eac0d05c0	DEV	mountmgr	MountPointManager	N/A	FILE_DEVICE_NETWORK
0xc08eac0d0a80	DRV	vsock	N/A	N/A	N/A
* 0xc08eac0d0a80	DEV	vsock	vmci	N/A	FILE_DEVICE_UNKNOWN
0xc08eac0d4060	DRV	LSI_SAS	N/A	N/A	N/A
* 0xc08eac0d4060	DEV	LSI_SAS	00000069	N/A	FILE_DEVICE_DISK
** 0xc08eac0d4060	ATT	LSI_SAS	DR0	\Driver\Disk	FILE_DEVICE_DISK
*** 0xc08eac0d4060	ATT	LSI_SAS	-	\Driver\partmgr	FILE_DEVICE_DISK
**** 0xc08eac0d4060	ATT	LSI_SAS	-	\Driver\mfedisk	FILE_DEVICE_DISK
0xc08eac0d5e60	DRV	atapi	N/A	N/A	N/A
* 0xc08eac0d5e60	DEV	atapi	IdePort1	N/A	FILE_DEVICE_CONTROLLER
0xc08eac0e57e0	DRV	FltMgr	N/A	N/A	N/A
* 0xc08eac0e57e0	DEV	FltMgr	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xc08eac0f39d0	DRV	storahci	N/A	N/A	N/A
* 0xc08eac0f39d0	DEV	storahci	0000006b	N/A	FILE_DEVICE_CD_ROM
** 0xc08eac0f39d0	ATT	storahci	CdRom0	\Driver\cdrom	FILE_DEVICE_CD_ROM
0xc08eac0f3e60	DRV	FileInfo	N/A	N/A	N/A
* 0xc08eac0f3e60	DEV	FileInfo	FileInfo	N/A	FILE_DEVICE_UNKNOWN
0xc08eac0ff630	DRV	EhStorClass	N/A	N/A	N/A
0xc08eac10a900	DRV	Wof	N/A	N/A	N/A
0xc08eac11e920	DRV	vsepflt	N/A	N/A	N/A
* 0xc08eac11e920	DEV	vsepflt	VFileControl	N/A	FILE_DEVICE_UNKNOWN
0xc08eac13b860	DRV	mfehidk	N/A	N/A	N/A
* 0xc08eac13b860	DEV	mfehidk	mfehidk_pseudofile	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
0xc08eac13c8a0	DRV	msisadrv	N/A	N/A	N/A
* 0xc08eac13c8a0	DEV	msisadrv	-	N/A	FILE_DEVICE_UNKNOWN
0xc08eac16c660	DRV	intelide	N/A	N/A	N/A
* 0xc08eac16c660	DEV	intelide	PciIde0Channel1	N/A	FILE_DEVICE_CONTROLLER
** 0xc08eac16c660	ATT	intelide	IdePort1	\Driver\atapi	FILE_DEVICE_CONTROLLER
0xc08eac16ca00	DRV	partmgr	N/A	N/A	N/A
* 0xc08eac16ca00	DEV	partmgr	-	N/A	FILE_DEVICE_DISK
0xc08eac198e60	DRV	KSecPkg	N/A	N/A	N/A
0xc08eac19a060	DRV	Tcpip	N/A	N/A	N/A
* 0xc08eac19a060	DEV	Tcpip	eQoS	N/A	FILE_DEVICE_NETWORK
0xc08eac1a6660	DRV	NTFS	N/A	N/A	N/A
* 0xc08eac1a6660	DEV	NTFS	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
** 0xc08eac1a6660	ATT	NTFS	-	\FileSystem\FltMgr	FILE_DEVICE_DISK_FILE_SYSTEM
0xc08eac1a6ca0	DRV	CLFS	N/A	N/A	N/A
* 0xc08eac1a6ca0	DEV	CLFS	clfs	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
0xc08eac1aa670	DRV	KSecDD	N/A	N/A	N/A
* 0xc08eac1aa670	DEV	KSecDD	KsecDD	N/A	FILE_DEVICE_KSEC
0xc08eac1abc50	DRV	Fs_Rec	N/A	N/A	N/A
* 0xc08eac1abc50	DEV	Fs_Rec	CdfsRecognizer	N/A	FILE_DEVICE_CD_ROM_FILE_SYSTEM
0xc08eac1ac7d0	DRV	NDIS	N/A	N/A	N/A
* 0xc08eac1ac7d0	DEV	NDIS	Ndis	N/A	FILE_DEVICE_NETWORK
0xc08eac347a60	DRV	mfewfpk	N/A	N/A	N/A
* 0xc08eac347a60	DEV	mfewfpk	mfewfpk	N/A	FILE_DEVICE_UNKNOWN
0xc08eac3534b0	DRV	WFPLWFS	N/A	N/A	N/A
* 0xc08eac3534b0	DEV	WFPLWFS	WFPL2DPConfig	N/A	FILE_DEVICE_NETWORK
0xc08eac384760	DRV	fvevol	N/A	N/A	N/A
* 0xc08eac384760	DEV	fvevol	-	N/A	FILE_DEVICE_DISK
** 0xc08eac384760	ATT	fvevol	-	\Driver\rdyboost	FILE_DEVICE_DISK
*** 0xc08eac384760	ATT	fvevol	-	\Driver\iorate	FILE_DEVICE_DISK
**** 0xc08eac384760	ATT	fvevol	-	\Driver\volume	FILE_DEVICE_DISK
***** 0xc08eac384760	ATT	fvevol	-	\Driver\volsnap	FILE_DEVICE_DISK
0xc08eac384770	DRV	-	N/A	N/A	N/A
* 0xc08eac384770	DEV	-	-	N/A	UNKNOWN
0xc08eac386dd0	DRV	mfedisk	N/A	N/A	N/A
* 0xc08eac386dd0	DEV	mfedisk	-	N/A	FILE_DEVICE_DISK
0xc08eac3879c0	DRV	volsnap	N/A	N/A	N/A
* 0xc08eac3879c0	DEV	volsnap	HarddiskVolumeShadowCopy30	N/A	FILE_DEVICE_VIRTUAL_DISK
0xc08eac387bf0	DRV	volume	N/A	N/A	N/A
* 0xc08eac387bf0	DEV	volume	-	N/A	FILE_DEVICE_DISK
** 0xc08eac387bf0	ATT	volume	-	\Driver\volsnap	FILE_DEVICE_DISK
