Volatility 3 Framework 2.28.1

Cache	FileObject	FileName	Result
ImageSectionObject	0xc08eada59590	userenv.dll	file.0xc08eada59590.0xc08eadab1b50.ImageSectionObject.userenv.dll.img
ImageSectionObject	0xc08eae5d24a0	profext.dll	file.0xc08eae5d24a0.0xc08eae5d4b10.ImageSectionObject.profext.dll.img
DataSectionObject	0xc08eae5d7a60	FirewallAPI.dll	Error dumping file
ImageSectionObject	0xc08eae5d7a60	FirewallAPI.dll	file.0xc08eae5d7a60.0xc08eae9416f0.ImageSectionObject.FirewallAPI.dll.img
ImageSectionObject	0xc08eadbf9b20	fwbase.dll	file.0xc08eadbf9b20.0xc08eae5de430.ImageSectionObject.fwbase.dll.img
ImageSectionObject	0xc08eae5d8590	ntmarta.dll	file.0xc08eae5d8590.0xc08eae5da540.ImageSectionObject.ntmarta.dll.img
DataSectionObject	0xc08eadb63080	bcrypt.dll	file.0xc08eadb63080.0xc08ead5f3ca0.DataSectionObject.bcrypt.dll.dat
ImageSectionObject	0xc08eadb63080	bcrypt.dll	file.0xc08eadb63080.0xc08eadb3ddb0.ImageSectionObject.bcrypt.dll.img
ImageSectionObject	0xc08eadb927b0	mswsock.dll	file.0xc08eadb927b0.0xc08eadb82cc0.ImageSectionObject.mswsock.dll.img
ImageSectionObject	0xc08eac841ef0	profapi.dll	file.0xc08eac841ef0.0xc08ead408010.ImageSectionObject.profapi.dll.img
DataSectionObject	0xc08eada715c0	sspicli.dll	Error dumping file
ImageSectionObject	0xc08eada715c0	sspicli.dll	file.0xc08eada715c0.0xc08eadab1db0.ImageSectionObject.sspicli.dll.img
ImageSectionObject	0xc08eada211b0	wininitext.dll	file.0xc08eada211b0.0xc08eada95b60.ImageSectionObject.wininitext.dll.img
DataSectionObject	0xc08eac9de490	sechost.dll	Error dumping file
ImageSectionObject	0xc08eac9de490	sechost.dll	file.0xc08eac9de490.0xc08eac9df010.ImageSectionObject.sechost.dll.img
ImageSectionObject	0xc08eac9df950	ws2_32.dll	file.0xc08eac9df950.0xc08eac9e14f0.ImageSectionObject.ws2_32.dll.img
DataSectionObject	0xc08eac9ca730	msvcrt.dll	Error dumping file
ImageSectionObject	0xc08eac9ca730	msvcrt.dll	file.0xc08eac9ca730.0xc08eac9cb510.ImageSectionObject.msvcrt.dll.img
DataSectionObject	0xc08eacb547e0	advapi32.dll	Error dumping file
ImageSectionObject	0xc08eacb547e0	advapi32.dll	file.0xc08eacb547e0.0xc08eacae6010.ImageSectionObject.advapi32.dll.img
DataSectionObject	0xc08eadb03ef0	user32.dll.mui	Error dumping file
ImageSectionObject	0xc08eadae8ac0	winlogon.exe	file.0xc08eadae8ac0.0xc08eadaebb80.ImageSectionObject.winlogon.exe.img
ImageSectionObject	0xc08eadb0ae90	winsta.dll	file.0xc08eadb0ae90.0xc08eadb1a520.ImageSectionObject.winsta.dll.img
ImageSectionObject	0xc08eaf1d64a0	uxtheme.dll	file.0xc08eaf1d64a0.0xc08eaf1d9b60.ImageSectionObject.uxtheme.dll.img
ImageSectionObject	0xc08eaf1f2ac0	dwminit.dll	file.0xc08eaf1f2ac0.0xc08eaf20fbf0.ImageSectionObject.dwminit.dll.img
ImageSectionObject	0xc08eac714c10	apphelp.dll	file.0xc08eac714c10.0xc08eaf1b48d0.ImageSectionObject.apphelp.dll.img
ImageSectionObject	0xc08eaf1ad3e0	dwmapi.dll	file.0xc08eaf1ad3e0.0xc08eaf1ce010.ImageSectionObject.dwmapi.dll.img
ImageSectionObject	0xc08eaf1efef0	UXInit.dll	file.0xc08eaf1efef0.0xc08eaf1d65c0.ImageSectionObject.UXInit.dll.img
ImageSectionObject	0xc08eadb67220	cryptbase.dll	file.0xc08eadb67220.0xc08eadb74db0.ImageSectionObject.cryptbase.dll.img
ImageSectionObject	0xc08eadbbe7f0	dpapi.dll	file.0xc08eadbbe7f0.0xc08eadbf5b40.ImageSectionObject.dpapi.dll.img
ImageSectionObject	0xc08eaa871ef0	powrprof.dll	file.0xc08eaa871ef0.0xc08ead400db0.ImageSectionObject.powrprof.dll.img
DataSectionObject	0xc08eac9f1b10	msasn1.dll	Error dumping file
ImageSectionObject	0xc08eac9f1b10	msasn1.dll	file.0xc08eac9f1b10.0xc08eac984470.ImageSectionObject.msasn1.dll.img
DataSectionObject	0xc08eae51ca70	crypt32.dll	Error dumping file
ImageSectionObject	0xc08eae51ca70	crypt32.dll	file.0xc08eae51ca70.0xc08eae544650.ImageSectionObject.crypt32.dll.img
ImageSectionObject	0xc08eac9e2ac0	SHCore.dll	file.0xc08eac9e2ac0.0xc08eac9e35b0.ImageSectionObject.SHCore.dll.img
ImageSectionObject	0xc08eac9dc8a0	imm32.dll	file.0xc08eac9dc8a0.0xc08eac9db540.ImageSectionObject.imm32.dll.img
DataSectionObject	0xc08eaab07550	ESENT.dll.mui	Error dumping file
DataSectionObject	0xc08eb005a7a0	ESENT.dll.mui	Error dumping file
ImageSectionObject	0xc08eadb2fca0	services.exe	file.0xc08eadb2fca0.0xc08eadb0fdb0.ImageSectionObject.services.exe.img
ImageSectionObject	0xc08eae5ba9a0	scesrv.dll	file.0xc08eae5ba9a0.0xc08eae5c3db0.ImageSectionObject.scesrv.dll.img
DataSectionObject	0xc08eafbce860	esent.dll	file.0xc08eafbce860.0xc08eadd78ac0.DataSectionObject.esent.dll.dat
ImageSectionObject	0xc08eafbce860	esent.dll	file.0xc08eafbce860.0xc08eafb87d70.ImageSectionObject.esent.dll.img
ImageSectionObject	0xc08eb0191ef0	spinf.dll	file.0xc08eb0191ef0.0xc08eaaaf28d0.ImageSectionObject.spinf.dll.img
ImageSectionObject	0xc08eb018eef0	drvstore.dll	file.0xc08eb018eef0.0xc08eaab024b0.ImageSectionObject.drvstore.dll.img
ImageSectionObject	0xc08eafe52080	srvcli.dll	file.0xc08eafe52080.0xc08eaff81db0.ImageSectionObject.srvcli.dll.img
ImageSectionObject	0xc08eaf51d180	devrtl.dll	file.0xc08eaf51d180.0xc08eaf51f470.ImageSectionObject.devrtl.dll.img
ImageSectionObject	0xc08eaa92a940	samlib.dll	file.0xc08eaa92a940.0xc08eaa939010.ImageSectionObject.samlib.dll.img
ImageSectionObject	0xc08eae5c7210	WUDFPlatform.dll	file.0xc08eae5c7210.0xc08eadbe8db0.ImageSectionObject.WUDFPlatform.dll.img
ImageSectionObject	0xc08ead4d6850	dabapi.dll	file.0xc08ead4d6850.0xc08eaf1f93a0.ImageSectionObject.dabapi.dll.img
ImageSectionObject	0xc08eae5c33d0	authz.dll	file.0xc08eae5c33d0.0xc08eadbfe590.ImageSectionObject.authz.dll.img
ImageSectionObject	0xc08eae51c410	cfgmgr32.dll	file.0xc08eae51c410.0xc08eae5191b0.ImageSectionObject.cfgmgr32.dll.img
ImageSectionObject	0xc08eadb833b0	msv1_0.dll	file.0xc08eadb833b0.0xc08eadb87610.ImageSectionObject.msv1_0.dll.img
ImageSectionObject	0xc08eadb88ef0	NtlmShared.dll	file.0xc08eadb88ef0.0xc08eadb939d0.ImageSectionObject.NtlmShared.dll.img
ImageSectionObject	0xc08eadb66e60	cryptdll.dll	file.0xc08eadb66e60.0xc08eadb817f0.ImageSectionObject.cryptdll.dll.img
DataSectionObject	0xc08eadb65ef0	devobj.dll	file.0xc08eadb65ef0.0xc08ead1252a0.DataSectionObject.devobj.dll.dat
ImageSectionObject	0xc08eadb65ef0	devobj.dll	file.0xc08eadb65ef0.0xc08eadb51db0.ImageSectionObject.devobj.dll.img
ImageSectionObject	0xc08eadb3e690	EventAggregation.dll	file.0xc08eadb3e690.0xc08eadb65650.ImageSectionObject.EventAggregation.dll.img
ImageSectionObject	0xc08eac9db080	setupapi.dll	Error dumping file
ImageSectionObject	0xc08eadbf7ef0	sspisrv.dll	file.0xc08eadbf7ef0.0xc08eadbe6010.ImageSectionObject.sspisrv.dll.img
ImageSectionObject	0xc08eadb68c80	msprivs.dll	Error dumping file
ImageSectionObject	0xc08eaf5f2750	rasadhlp.dll	file.0xc08eaf5f2750.0xc08eaf5f2010.ImageSectionObject.rasadhlp.dll.img
ImageSectionObject	0xc08eadb84670	ncryptprov.dll	file.0xc08eadb84670.0xc08eaaa38b40.ImageSectionObject.ncryptprov.dll.img
ImageSectionObject	0xc08eadb34c70	lsass.exe	file.0xc08eadb34c70.0xc08eadb3c010.ImageSectionObject.lsass.exe.img
ImageSectionObject	0xc08eae74eef0	keyiso.dll	file.0xc08eae74eef0.0xc08eb0711c70.ImageSectionObject.keyiso.dll.img
